gvkey,fyear,datadate,act,at,che,cogs,dlc,dltt,dp,dpc,ib,lct,oancf,ppegt,ppent,rect,sale,xsga,nicon,sic
247578,2015,20160331,4187.8390,5444.2280,334.6170,3834.2470,1881.8060,342.3550,60.2410,60.4980,247.1480,2797.4030,-119.2090,1159.0630,821.5010,1040.3690,6254.4790,384.8110,247.1480,2300
247578,2016,20170331,4776.6150,6198.6800,573.0370,4097.3020,2343.6180,305.6550,62.0720,62.3340,212.7610,3196.4870,-24.7680,1371.8350,980.0230,1059.5860,6458.9570,478.4240,212.7610,2300
247578,2017,20180331,6538.3620,9099.4060,398.9700,4524.0590,3003.7930,472.8400,74.8160,74.8160,174.6670,4776.8180,-562.9110,1246.1620,1134.9820,2454.8610,7103.9050,515.3230,174.6670,2300
247578,2018,20190331,6352.9590,9176.5790,452.8740,4558.4680,3231.5960,597.7140,80.4940,80.4940,197.9040,4497.0050,80.3570,1343.0510,1163.9750,1636.6520,7479.9740,504.1460,197.9040,2300
247578,2019,20200331,6666.5110,9044.6500,609.3210,4302.4250,3825.6150,645.9200,99.8010,99.8010,212.7310,4856.9810,-71.1960,1566.3980,1297.4250,1594.2690,7206.9580,488.2440,212.7310,2300
247578,2020,20210331,6663.7010,9029.9670,391.4260,3378.2920,3088.1380,1277.2410,103.3490,103.3490,-61.4660,4260.1250,263.9330,1599.0350,1238.4400,1747.9070,5483.9350,473.1290,-61.4660,2300
247578,2021,20220331,7320.1140,9428.8440,758.8720,4313.6890,3064.7770,1713.9300,238.0630,238.0630,-165.3020,4374.7670,459.1610,1884.5250,1432.8120,1644.6980,6935.0950,541.1450,-165.3020,2300
271479,2000,20010331,222.9600,588.3690,3.1020,475.9720,61.7680,0.0000,4.3570,,76.2610,155.0230,,106.3500,81.9500,109.0440,684.2070,100.5930,76.2610,2320
271479,2001,20020331,530.1520,836.8280,27.7770,738.8840,122.8820,0.0000,8.1130,,45.4240,322.0480,,155.9040,105.4190,188.6820,1195.3690,349.2270,45.4240,2320
271479,2002,20030331,614.9560,927.3280,15.7760,1201.2940,147.2740,0.0000,7.4810,8.3910,31.4790,408.2440,17.7340,172.4910,133.6580,182.1940,1282.1090,0.0000,31.4790,2320
271479,2003,20040331,628.5380,1039.2240,21.9770,1538.7060,163.3670,0.0000,11.1070,12.1380,87.6240,459.5780,110.0450,287.5860,238.6470,227.4290,1701.9180,0.0000,87.6240,2320
271479,2004,20050331,860.4800,1460.9290,74.6670,699.7660,157.2880,0.0000,17.4290,20.5020,87.3110,551.1080,18.6310,383.5730,297.0000,168.0760,1561.4800,909.5870,87.3110,2320
271479,2005,20060331,948.8330,1707.5000,83.6570,879.6060,220.3290,76.1940,42.1980,42.2520,133.6280,642.8520,102.4980,772.1150,594.4590,235.2920,2153.5430,1128.0290,133.6280,2320
271479,2006,20070331,1153.0770,1936.5490,176.0810,1412.2750,264.2930,63.9200,50.2560,50.2640,236.4440,689.3450,219.2760,853.1230,633.7000,314.0660,2592.0330,851.9280,236.4440,2320
271479,2007,20080331,1281.3910,2230.9860,103.3870,1438.1140,216.2620,31.6470,50.0280,50.9120,324.2230,743.6440,187.0720,942.3500,685.3210,311.4880,2834.9600,1045.4240,324.2230,2320
271479,2008,20090331,1488.3990,2536.2980,271.0940,1584.6330,256.4770,20.2960,58.1870,58.1950,249.6010,865.9850,357.6490,1234.6810,903.9520,342.9220,3210.6150,1243.1850,249.6010,2320
271479,2009,20100331,1597.4840,2706.2220,292.1590,1564.0240,304.7370,17.0010,63.4930,63.5000,261.8790,822.6120,149.6940,1347.2030,976.2490,329.0400,3140.0570,1247.4380,261.8790,2320
271479,2010,20110331,1804.9800,3179.0690,296.1340,1756.5290,372.9470,91.1170,71.6020,71.6020,331.8570,926.3290,154.6780,1659.7370,1234.0540,349.1580,3417.9990,1388.7520,331.8570,2320
271479,2011,20120331,1685.4300,3447.1520,281.6410,1912.3550,495.9430,76.1410,81.6070,81.6070,177.4810,1008.6900,162.2160,1847.1190,1340.6040,509.5060,3775.2720,1465.6960,177.4810,2320
271479,2012,20130331,1764.5040,3589.4750,316.9200,1808.6780,493.8980,64.0490,99.0400,99.0400,140.1240,1049.2480,276.7550,1775.0800,1187.2730,610.5880,3599.7020,1417.5710,140.1240,2320
271479,2013,20140331,1905.1030,3889.0540,382.6330,2047.6850,430.9090,64.6850,105.0320,105.0320,220.0100,1151.2050,394.0610,1930.9410,1241.8900,640.0480,4105.5920,1562.0600,220.0100,2320
271479,2014,20150331,1837.1600,3959.1810,320.0890,2013.2730,506.3310,73.4970,104.6460,104.6460,90.2000,1140.3480,140.9020,2130.3990,1346.8360,599.2910,3939.5790,1664.9230,90.2000,2320
271479,2015,20160331,1507.2890,3959.3210,159.2840,1601.2250,652.2280,72.4960,113.6560,113.6560,-82.1470,1214.4450,193.0290,2330.6210,1451.5870,466.9570,3523.6590,1174.8180,-82.1470,2320
271479,2016,20170331,1666.9560,3739.3710,190.2720,1209.7280,502.7570,89.2720,117.9600,117.9600,61.4230,989.3000,-11.7740,2276.0100,1421.4690,677.9300,2851.3370,1093.5660,61.4230,2320
271479,2017,20180331,1884.7680,4106.3680,194.1920,1031.1610,597.9860,70.5490,108.3830,108.3830,-234.8940,1159.7890,-365.6190,1557.4960,1352.5330,809.2440,2377.1110,1032.5200,-234.8940,2320
271479,2018,20190331,1967.7540,4089.5210,229.1100,780.7220,628.4120,8.3060,107.0860,107.0860,-267.9270,1041.3560,-248.2050,1581.5930,1287.2670,732.5770,2158.2550,1063.1080,-267.9270,2320
271479,2019,20200331,1832.7380,4403.1270,235.3360,717.5670,691.2230,729.0910,354.5820,354.5820,-289.6540,1083.0390,106.9050,2948.2640,1929.7030,687.9730,1908.2420,666.7280,-289.6540,2320
271479,2020,20210331,1584.3630,3849.8960,237.6790,433.5090,509.0380,390.2820,233.8510,233.8510,-293.8180,837.8480,-85.4860,2507.3670,1507.3710,550.9500,1000.9840,459.6970,-293.8180,2320
271479,2021,20220331,1316.4200,3628.3880,109.1660,554.8260,499.6510,231.8360,185.7410,185.7410,-163.6860,884.2390,-54.0620,2320.1200,1256.4520,480.5630,1266.5200,455.8380,-163.6860,2320
273542,1999,20000331,1.2880,2.3770,0.6110,0.1140,0.0000,0.0000,0.1230,0.0100,-0.3010,2.0650,1.2120,1.0890,1.0790,0.0000,0.2070,0.2440,-0.1880,2300
