gvkey,fyear,datadate,act,at,cogs,dltt,dp,oancf,ppegt,rect,sale,xsga,nicon
271479,2008,20090331,1488.3990,2536.2980,1584.6330,20.2960,58.1870,357.6490,1234.6810,342.9220,3210.6150,1243.1850,249.6010
271479,2009,20100331,1597.4840,2706.2220,1564.0240,17.0010,63.4930,149.6940,1347.2030,329.0400,3140.0570,1247.4380,261.8790
271479,2010,20110331,1804.9800,3179.0690,1756.5290,91.1170,71.6020,154.6780,1659.7370,349.1580,3417.9990,1388.7520,331.8570
271479,2011,20120331,1685.4300,3447.1520,1912.3550,76.1410,81.6070,162.2160,1847.1190,509.5060,3775.2720,1465.6960,177.4810
271479,2012,20130331,1764.5040,3589.4750,1808.6780,64.0490,99.0400,276.7550,1775.0800,610.5880,3599.7020,1417.5710,140.1240
271479,2013,20140331,1905.1030,3889.0540,2047.6850,64.6850,105.0320,394.0610,1930.9410,640.0480,4105.5920,1562.0600,220.0100
271479,2014,20150331,1837.1600,3959.1810,2013.2730,73.4970,104.6460,140.9020,2130.3990,599.2910,3939.5790,1664.9230,90.2000
271479,2015,20160331,1507.2890,3959.3210,1601.2250,72.4960,113.6560,193.0290,2330.6210,466.9570,3523.6590,1174.8180,-82.1470
271479,2016,20170331,1666.9560,3739.3710,1209.7280,89.2720,117.9600,-11.7740,2276.0100,677.9300,2851.3370,1093.5660,61.4230
271479,2017,20180331,1884.7680,4106.3680,1031.1610,70.5490,108.3830,-365.6190,1557.4960,809.2440,2377.1110,1032.5200,-234.8940
271479,2018,20190331,1967.7540,4089.5210,780.7220,8.3060,107.0860,-248.2050,1581.5930,732.5770,2158.2550,1063.1080,-267.9270
271479,2019,20200331,1832.7380,4403.1270,717.5670,729.0910,354.5820,106.9050,2948.2640,687.9730,1908.2420,666.7280,-289.6540
271479,2020,20210331,1584.3630,3849.8960,433.5090,390.2820,233.8510,-85.4860,2507.3670,550.9500,1000.9840,459.6970,-293.8180
271479,2021,20220331,1316.4200,3628.3880,554.8260,231.8360,185.7410,-54.0620,2320.1200,480.5630,1266.5200,455.8380,-163.6860
273542,1999,20000331,1.2880,2.3770,0.1140,0.0000,0.1230,1.2120,1.0890,0.0000,0.2070,0.2440,-0.1880
273542,2000,20010331,472.1720,543.9670,44.5550,0.0000,0.5380,-140.4000,72.0410,23.5750,62.9210,2.2600,1.1040
273542,2001,20020331,945.5780,1121.5880,2373.1010,0.0000,27.8620,251.3350,189.6510,325.6920,3623.6660,145.0320,386.9160
273542,2002,20030331,901.5840,1222.8430,2363.8980,0.0000,32.2450,209.0450,369.3980,95.9660,3707.0630,169.5500,290.7560
273542,2003,20040331,2333.4690,3166.3540,3530.9390,418.2660,107.1740,,1196.1430,411.5320,5421.7780,1365.7980,353.5540
273542,2004,20050331,3135.1100,4204.1000,4955.7700,706.0910,129.4720,-27.3410,1477.4940,594.5280,7240.4800,1701.3060,396.6980
273542,2005,20060331,4611.1670,6484.8180,5364.4350,805.6390,210.3110,32.2840,2455.5550,589.7950,8703.4120,2564.8770,609.6920
273542,2006,20070331,5487.4740,8231.9170,6088.0270,1004.5730,287.8900,416.6870,3603.1260,798.4550,10050.7500,2974.8280,705.3100
273542,2007,20080331,6347.0550,9305.3130,6098.7080,730.4160,366.0370,134.1530,4178.7180,866.8490,10098.2550,3587.5310,478.2000
273542,2008,20090331,6412.7250,9242.3420,6516.9460,569.0000,387.9410,757.1560,4430.5200,1105.6630,10957.6820,3750.0450,34.2540
273542,2009,20100331,6511.0620,9128.4940,7255.8190,425.1870,399.4170,823.9610,4508.6180,1569.0780,10723.9470,3598.4290,-18.2270
273542,2010,20110331,5392.4550,7969.6300,7388.3780,246.9220,388.8900,852.2850,4823.3400,1288.3740,10818.7940,4167.6250,-847.6110
273542,2011,20120331,3471.0990,6165.7920,6317.7640,52.6000,369.6080,1115.4280,4798.8190,839.4380,10242.5580,3831.6290,-1323.7840
273542,2012,20130331,3925.7380,6425.0690,5770.6310,0.0000,340.9490,-661.5150,4828.4550,1087.3190,9809.9890,4101.2160,-1094.4090
273542,2013,20140331,4062.9250,6280.6300,6338.6960,641.6000,272.8960,400.3890,4668.3880,1368.6540,11311.8210,3906.1450,-67.0090
